iter	Passed	Remaining
0	157	156845
1	161	80428
2	164	54795
3	168	41896
4	172	34287
5	176	29178
6	179	25448
7	182	22658
8	185	20446
9	188	18622
10	190	17122
11	192	15823
12	193	14711
13	195	13768
14	196	12929
15	198	12191
16	199	11550
17	201	10996
18	202	10475
19	204	10012
20	205	9593
21	207	9208
22	208	8855
23	209	8533
24	211	8234
25	212	7961
26	213	7709
27	215	7490
28	217	7282
29	219	7081
30	220	6888
31	221	6705
32	223	6534
33	224	6373
34	225	6220
35	227	6081
36	228	5950
37	230	5831
38	232	5716
39	233	5603
40	234	5491
41	236	5386
42	237	5285
43	238	5188
44	240	5095
45	241	5009
46	242	4926
47	244	4854
48	246	4782
49	247	4707
50	249	4636
51	250	4569
52	252	4503
53	253	4441
54	255	4382
55	256	4324
56	257	4267
57	259	4215
58	261	4171
59	262	4118
60	264	4067
61	265	4016
62	266	3969
63	268	3922
64	269	3878
65	270	3833
66	272	3791
67	273	3750
68	275	3713
69	276	3679
70	278	3642
71	279	3604
72	281	3568
73	282	3534
74	283	3498
75	285	3465
76	286	3432
77	287	3402
78	289	3372
79	291	3347
80	292	3320
81	294	3292
82	294	3256
83	296	3230
84	297	3204
85	299	3178
86	300	3153
87	301	3129
88	303	3106
89	305	3084
90	306	3065
91	308	3042
92	309	3019
93	311	2997
94	312	2975
95	313	2954
96	315	2933
97	316	2912
98	317	2891
99	319	2873
100	320	2856
101	322	2839
102	324	2823
103	325	2806
104	327	2788
105	328	2771
106	329	2754
107	331	2736
108	332	2719
109	333	2701
110	335	2686
111	337	2673
112	338	2657
113	339	2641
114	341	2625
115	342	2611
116	343	2594
117	345	2580
118	346	2566
119	348	2552
120	349	2538
121	350	2522
122	352	2510
123	353	2496
124	354	2483
125	356	2471
126	357	2457
127	358	2445
128	360	2434
129	361	2421
130	363	2408
131	364	2397
132	366	2386
133	368	2379
134	369	2367
135	370	2356
136	372	2344
137	373	2334
138	375	2325
139	376	2315
140	378	2305
141	379	2292
142	381	2285
143	383	2278
144	384	2268
145	386	2260
146	387	2250
147	389	2240
148	390	2230
149	391	2220
150	393	2211
151	395	2204
152	397	2198
153	398	2191
154	400	2182
155	401	2173
156	403	2165
157	404	2156
158	406	2148
159	407	2139
160	408	2128
161	409	2119
162	411	2114
163	413	2108
164	415	2101
165	416	2093
166	417	2084
167	419	2077
168	420	2069
169	422	2062
170	423	2054
171	425	2048
172	426	2040
173	428	2036
174	430	2029
175	431	2021
176	433	2013
177	434	2006
178	435	1998
179	437	1991
180	438	1984
181	439	1977
182	441	1970
183	442	1964
184	444	1957
185	445	1950
186	447	1944
187	448	1937
188	449	1929
189	450	1922
190	452	1915
191	453	1908
192	454	1902
193	456	1896
194	458	1890
195	459	1885
196	461	1879
197	462	1872
198	463	1866
199	465	1860
200	466	1854
201	468	1849
202	469	1843
203	470	1837
204	472	1832
205	474	1828
206	475	1823
207	477	1817
208	478	1811
209	480	1805
210	481	1800
211	482	1794
212	484	1789
213	485	1783
214	487	1778
215	488	1774
216	490	1769
217	491	1764
218	493	1758
219	494	1753
220	495	1748
221	497	1743
222	498	1737
223	500	1733
224	501	1729
225	503	1725
226	505	1720
227	506	1715
228	508	1710
229	509	1705
230	510	1700
231	512	1696
232	513	1691
233	515	1687
234	517	1683
235	519	1680
236	520	1676
237	522	1671
238	523	1666
239	524	1662
240	526	1657
241	527	1653
242	529	1649
243	530	1645
244	532	1641
245	534	1638
246	536	1634
247	537	1629
248	538	1624
249	540	1620
250	541	1615
251	542	1610
252	544	1606
253	545	1601
254	546	1597
255	548	1594
256	550	1590
257	551	1586
258	552	1581
259	554	1577
260	555	1572
261	556	1568
262	558	1564
263	559	1560
264	561	1556
265	562	1553
266	564	1550
267	565	1545
268	567	1541
269	568	1538
270	570	1533
271	571	1530
272	573	1526
273	574	1522
274	575	1518
275	577	1513
276	578	1511
277	580	1508
278	582	1504
279	583	1500
280	584	1496
281	586	1492
282	587	1487
283	588	1483
284	589	1479
285	591	1475
286	592	1471
287	593	1468
288	595	1465
289	597	1462
290	598	1458
291	599	1454
292	601	1450
293	602	1446
294	603	1442
295	605	1439
296	606	1435
297	607	1431
298	609	1428
299	611	1425
300	613	1423
301	614	1419
302	615	1416
303	617	1412
304	618	1408
305	619	1404
306	620	1401
307	621	1397
308	623	1394
309	625	1392
310	627	1390
311	628	1386
312	630	1382
313	631	1379
314	632	1375
315	633	1371
316	635	1368
317	636	1364
318	637	1360
319	638	1357
320	640	1355
321	642	1353
322	643	1349
323	645	1346
324	646	1342
325	647	1339
326	649	1335
327	650	1332
328	651	1328
329	652	1325
330	654	1322
331	656	1320
332	657	1317
333	658	1313
334	660	1310
335	661	1307
336	662	1303
337	663	1300
338	665	1296
339	666	1293
340	667	1290
341	669	1287
342	670	1285
343	672	1282
344	673	1279
345	675	1276
346	676	1273
347	677	1269
348	678	1266
349	680	1263
350	681	1260
351	682	1256
352	684	1254
353	686	1252
354	687	1249
355	688	1246
356	690	1243
357	691	1239
358	692	1236
359	693	1233
360	694	1230
361	696	1226
362	697	1223
363	698	1221
364	700	1218
365	702	1217
366	704	1214
367	705	1211
368	706	1208
369	708	1205
370	709	1202
371	710	1199
372	711	1196
373	713	1193
374	714	1191
375	716	1188
376	717	1185
377	718	1182
